"ent","Escolaridad","Salario_trim","Salario_trim_cv"
8,"Universitario",9028.2660614541,0.0442101963121127
9,"Básica",4567.53178693503,0.0670741898796667
9,"Especialidad",14428.1477292844,0.219268351770276
9,"Media superior",4592.66706088764,0.0535232237523559
9,"Ninguno",2394.70240167073,0.225091138498047
9,"No sabe",1647.94168096055,0.884100777124312
9,"Universitario",7911.57201127047,0.0951271214276476
10,"Básica",6817.07209034376,0.0269326067366791
10,"Especialidad",12118.1408596582,0.103375170209942
10,"Media superior",7460.38454316282,0.0305455348099691
10,"Ninguno",4563.42773677737,0.0807075448439776
10,"No sabe",2704.87119437939,0.367629286705886
10,"Universitario",8699.53186687207,0.0343229260597948
11,"Básica",4651.61705117569,0.0286985614025797
11,"Especialidad",9511.89259319324,0.190290129112226
11,"Media superior",4930.55774421446,0.0537452789853911
11,"Ninguno",3031.76646613502,0.112569482900251
11,"No sabe",10210.7478427613,0.136323553498997
11,"Universitario",4699.94328705511,0.0813412109477169
12,"Básica",4916.91386199982,0.05572801174497
12,"Especialidad",11050.0492072171,0.131223525610103
12,"Media superior",5692.06272447942,0.0438824511561089
12,"Ninguno",2770.82663662907,0.176277098331287
12,"No sabe",4757.13216957606,0.533733860722943
12,"Universitario",7643.5730967468,0.0691248049967471
13,"Básica",4753.06158821678,0.0482241184634152
13,"Especialidad",8909.46295058768,0.167533040106007
13,"Media superior",5543.56854300041,0.0654725702105983
13,"Ninguno",2418.8734240239,0.106115142278103
13,"No sabe",4830.03709591945,0.469383691775541
13,"Universitario",6492.04168863202,0.0909029574268782
14,"Básica",5760.86692584865,0.0305589732873587
14,"Especialidad",11135.6910691824,0.150054596318166
14,"Media superior",5701.67626691171,0.0446256737312958
14,"Ninguno",5785.34356446141,0.105630608992568
14,"Universitario",5268.53916229023,0.0669219642867359
15,"Básica",3366.22039899096,0.0503523780594121
15,"Especialidad",7091.81684179075,0.312299580324761
15,"Media superior",3184.43772115486,0.0621229662866956
15,"Ninguno",3578.57602091488,0.126640962056653
15,"No sabe",1538.89118742242,1.07416193165435
15,"Universitario",3591.09896960045,0.0943680732173306
16,"Básica",6108.58041558717,0.0298129084591162
16,"Especialidad",8596.04538909544,0.237448560502018
16,"Media superior",6395.93309170068,0.079041937298785
16,"Ninguno",4633.56141134435,0.093251719336391
16,"No sabe",5716.26297577855,0.836783803341864
16,"Universitario",7329.53383637232,0.0561437241310034
17,"Básica",2670.03664264942,0.0561820826296389
17,"Especialidad",5202.83076923077,0.392672068782758
17,"Media superior",2286.89322592518,0.0809640380491362
17,"Ninguno",2827.03507440024,0.151042993115501
17,"No sabe",0,NA
17,"Universitario",1919.31166508243,0.132366766508377
18,"Básica",8030.50657656906,0.0307697192970512
18,"Especialidad",16333.4743738237,0.0713655107367647
18,"Media superior",8525.85398369836,0.0250375627162674
18,"Ninguno",5125.69702276708,0.100539187777367
18,"Universitario",11670.6588360262,0.0388937845028281
19,"Básica",8722.9392793725,0.0257856146146505
19,"Especialidad",10693.1332923377,0.183614816693992
19,"Media superior",9085.03952762965,0.0387434124932991
19,"Ninguno",8661.54089613332,0.111897972133215
19,"No sabe",3097.29575861087,0.685325230642373
19,"Universitario",10390.3265558891,0.0664983232942301
20,"Básica",3430.64342723278,0.0534933268959347
20,"Especialidad",10000.0697529583,0.190119911495177
20,"Media superior",4997.41301284162,0.0749836003231908
20,"Ninguno",1756.31857509253,0.107547827238457
20,"No sabe",2803.38809034908,0.44087394745211
20,"Universitario",6272.09342312891,0.0500690341901159
21,"Básica",4341.39568636744,0.0381249676014447
21,"Especialidad",8231.47523558714,0.125518607869527
21,"Media superior",4812.8783901137,0.0402150881569008
21,"Ninguno",2879.07993678955,0.104733084524937
21,"No sabe",2904.5427092321,0.396502624339625
21,"Universitario",5914.21335567147,0.0639833496564979
22,"Básica",3784.0675407239,0.045765800623449
22,"Especialidad",6717.76860626137,0.209685217602748
22,"Media superior",3784.7094523947,0.0626654920056203
22,"Ninguno",2380.90691831607,0.190342914850701
22,"No sabe",1950.42792792793,0.485148409605562
22,"Universitario",4264.34471757144,0.0766565255376817
23,"Básica",7860.48607600231,0.0397472278869847
23,"Especialidad",11642.1122594683,0.166105208787463
23,"Media superior",8319.5561957357,0.04843945423099
23,"Ninguno",8347.80551928267,0.188160169088583
23,"No sabe",9016.08126410835,0.41231600298749
23,"Universitario",9043.57599992521,0.0731281760803228
24,"Básica",4063.11480721587,0.0386143863351314
24,"Especialidad",13325.0857848355,0.182562503761221
24,"Media superior",4791.94660783127,0.0474801759542406
24,"Ninguno",2332.63375938324,0.167218375751285
24,"No sabe",962.411634756996,0.625335280110785
24,"Universitario",5990.9221102595,0.0720811105030466
25,"Básica",7766.60315603909,0.0302902613297272
25,"Especialidad",18310.665252311,0.112988653253233
25,"Media superior",8589.80855543936,0.0443155446760676
25,"Ninguno",6074.66132522908,0.113293926498794
25,"No sabe",12083.7083080655,0.614005160861671
25,"Universitario",10171.3877146568,0.0391257036932986
26,"Básica",6581.97189715894,0.0429086577631514
26,"Especialidad",8555.4075860633,0.165571176916999
26,"Media superior",6750.47415089741,0.0416449458827755
26,"Ninguno",5095.91659860241,0.208655246202679
26,"No sabe",5673.89462614365,0.269255263186326
26,"Universitario",7796.70656288623,0.071154693214368
27,"Básica",5979.64530903441,0.0292439563757216
27,"Especialidad",15097.8795631423,0.116405592456736
27,"Media superior",6655.79013662675,0.0360035438170011
27,"Ninguno",4962.90984465541,0.153732802602747
27,"No sabe",7740,0
27,"Universitario",8320.37637458205,0.0538041664929362
