"ent","Sector","Jornada","Salario_trim","Salario_trim_cv"
"16","Secundario","Más de 48",8261.03874150142,0.0549026192394251
"16","Terciario","Menos de 15",2563.18078130205,0.113848955107431
"16","Terciario","De 15 a 48",6420.29583461738,0.0451938341062525
"16","Terciario","Más de 48",7405.12782798909,0.104341671472254
"17","Primario","Menos de 15",640.326086956522,0.413208864256821
"17","Primario","De 15 a 48",2599.01192549129,0.103269639857361
"17","Primario","Más de 48",2555.00670863866,0.197355033625309
"17","Secundario","Menos de 15",1012.04986563153,0.395849921393823
"17","Secundario","De 15 a 48",2860.44462594935,0.0953965988079347
"17","Secundario","Más de 48",4255.03536647873,0.161502881963454
"17","Terciario","Menos de 15",1703.92735185009,0.155519198506939
"17","Terciario","De 15 a 48",2263.45267427056,0.0791724139795244
"17","Terciario","Más de 48",1949.75258510877,0.11359453497801
"18","Primario","Menos de 15",2404.77890240505,0.181849334909239
"18","Primario","De 15 a 48",6110.76040178025,0.0514448065797941
"18","Primario","Más de 48",9064.91863218286,0.0767001034178842
"18","Secundario","Menos de 15",3211.64512413617,0.223994614861705
"18","Secundario","De 15 a 48",9669.86626506024,0.0382811894509444
"18","Secundario","Más de 48",14522.3174336718,0.0553825697766046
"18","Terciario","Menos de 15",3708.79841659568,0.0712475332059293
"18","Terciario","De 15 a 48",9923.62959499344,0.0337694205269756
"18","Terciario","Más de 48",11302.8972485264,0.0283920067799145
"19","Primario","Menos de 15",3018.1367972397,0.521574945884026
"19","Primario","De 15 a 48",5863.03189054726,0.162664649619321
"19","Primario","Más de 48",5909.40028089888,0.14062238390304
"19","Secundario","Menos de 15",9658.60326086957,0.398223030453219
"19","Secundario","De 15 a 48",10106.5380306866,0.0477900306874224
"19","Secundario","Más de 48",12215.1208730391,0.0820917537696591
"19","Terciario","Menos de 15",3968.84583175038,0.0945888948893014
"19","Terciario","De 15 a 48",8333.31506160381,0.0454695812430853
"19","Terciario","Más de 48",11347.7624483893,0.0554628345788538
"20","Primario","Menos de 15",607.942424349298,0.244906041901026
"20","Primario","De 15 a 48",1526.24703661159,0.128380833661513
"20","Primario","Más de 48",2351.23838415883,0.172973695766042
"20","Secundario","Menos de 15",2138.60661231884,0.437869506652856
"20","Secundario","De 15 a 48",4537.18369118275,0.0860521798858175
"20","Secundario","Más de 48",7808.52644164805,0.0652908111695727
"20","Terciario","Menos de 15",1961.98052610835,0.11009892404516
"20","Terciario","De 15 a 48",5080.9248263453,0.0454375848448754
"20","Terciario","Más de 48",6240.64746818688,0.0716717978252865
"21","Primario","Menos de 15",464.87409881698,0.287566963056026
"21","Primario","De 15 a 48",2692.30028421824,0.0894933133037072
"21","Primario","Más de 48",3188.61253752852,0.121730736372713
"21","Secundario","Menos de 15",1265.29056140035,0.225084689334774
"21","Secundario","De 15 a 48",5036.83966109079,0.0522830989238846
"21","Secundario","Más de 48",7796.7405079996,0.122963363796115
"21","Terciario","Menos de 15",2686.78192201489,0.122390588699321
"21","Terciario","De 15 a 48",4920.20166786394,0.0444473601116755
"21","Terciario","Más de 48",5832.94687235895,0.0668402568461389
"22","Primario","Menos de 15",337.677527151211,1.02367797095219
"22","Primario","De 15 a 48",1617.04259705566,0.21418230717284
"22","Primario","Más de 48",4913.88882237236,0.222532400186931
"22","Secundario","Menos de 15",1640.41328280094,0.142745972438554
"22","Secundario","De 15 a 48",4520.47417957658,0.0637798831265002
