"ent","rama","Salario_trim","Salario_trim_cv"
"12","No especificado",7098.03451470929,0.275355494475377
"13","Primario",2762.04325395991,0.108279565709543
"13","Secundario",6725.6031574635,0.0533470678351695
"13","Terciario",5148.42304000501,0.0513840652129137
"13","No especificado",4962.54869226489,0.293106737768855
"14","Primario",7027.70300004468,0.05867348137338
"14","Secundario",6517.18675567713,0.0386152191607425
"14","Terciario",5271.68622227359,0.0393343721775605
"14","No especificado",4434.26619433198,0.334618331147522
"15","Primario",2825.82063457859,0.130662246689154
"15","Secundario",4649.2449422852,0.0644414721668365
"15","Terciario",3168.60231748422,0.0563228313011213
"15","No especificado",1220.54238389087,0.525409268752319
"16","Primario",5855.53604543404,0.0723012539996178
"16","Secundario",7082.83275169329,0.0418780233720153
"16","Terciario",6351.74582488791,0.0413394802209713
"16","No especificado",414.755049419854,0.825058745539914
"17","Primario",2557.25355107381,0.0919670310214626
"17","Secundario",3193.7088576658,0.0822960481828398
"17","Terciario",2194.27511372252,0.0676605199350418
"17","No especificado",2845.15601783061,0.492446919934797
"18","Primario",6320.64183166508,0.0517661679743974
"18","Secundario",10372.264680876,0.0354812580763026
"18","Terciario",9588.89937821193,0.0233704414703287
"18","No especificado",1231.36672539643,0.412448382956819
"19","Primario",5582.93554726439,0.141271698460384
"19","Secundario",10603.4631504157,0.0428583574720502
"19","Terciario",8747.21142609554,0.0353277661271437
"19","No especificado",4050.8990401097,0.339153682395137
"20","Primario",1575.96621256512,0.111573474551622
"20","Secundario",5226.8151283278,0.0679225384683685
"20","Terciario",5173.99832070738,0.0441903136112304
"20","No especificado",3843.03266899527,0.290400653449456
"21","Primario",2601.44152899065,0.0847178315341238
"21","Secundario",5816.60769480652,0.0607186600019359
"21","Terciario",4954.0010713532,0.0406882801909913
"21","No especificado",3534.15397874174,0.305136999499698
"22","Primario",2565.12092257002,0.162039507717959
"22","Secundario",4551.26697466051,0.0533935185403775
"22","Terciario",3791.34777867026,0.0511039664128851
"22","No especificado",1051.53169014085,0.86864660593788
"23","Primario",2336.89435404756,0.16512366460035
"23","Secundario",10727.0687071636,0.0634822053815137
"23","Terciario",8098.19172624441,0.0368904888308332
"23","No especificado",4365.93569661995,0.361445302548415
"24","Primario",2638.75463782285,0.0906027434523114
"24","Secundario",6147.0419768503,0.0538860995537222
"24","Terciario",4654.4177254997,0.0402242728395886
"24","No especificado",1838.53636203557,0.379720055667094
"25","Primario",7251.50877035121,0.0654892952701991
"25","Secundario",9398.05792635424,0.0338917690737651
"25","Terciario",9100.5897926133,0.0285395345867467
"25","No especificado",1262.15587121212,0.413849749792809
"26","Primario",8122.85357639594,0.0640896634682997
"26","Secundario",8054.26737091123,0.0693100926971686
"26","Terciario",6554.6393950827,0.0350797292098993
"26","No especificado",1503.74291056404,0.267118721099294
"27","Primario",4850.5196130063,0.0641327581327903
"27","Secundario",8204.75761015562,0.0428343375953351
"27","Terciario",6960.12799327591,0.0328189724024278
"27","No especificado",3647.27879799666,0.261245207093132
"28","Primario",3917.67554260706,0.129538648755468
"28","Secundario",9736.30789593036,0.0241583552359288
"28","Terciario",8759.45479577168,0.0275542601124789
"28","No especificado",1552.73339330799,0.244371879451505
"29","Primario",2460.81258329335,0.0685488097909688
"29","Secundario",5871.61934317592,0.0279768122533895
"29","Terciario",5669.65426952876,0.0279714582184536
"29","No especificado",3373.37403540626,0.46366693752268
"30","Primario",3945.36023935442,0.115688332093891
"30","Secundario",6648.30918529726,0.0500995969544239
"30","Terciario",5677.83347626617,0.0368558025519214
"30","No especificado",3195.49577859387,0.202239827260318
"31","Primario",4430.14578344701,0.0830595269725925
"31","Secundario",8036.66307668537,0.0366674783538992
"31","Terciario",7495.11114467841,0.0270009089203459
"31","No especificado",1072.11511299435,0.40145208997353
"32","Primario",3934.63512815418,0.092808132160981
"32","Secundario",7039.08740533558,0.0429232526877532
"32","Terciario",5986.86372391826,0.0391081827928607
"32","No especificado",8674.69679128643,0.449993848610497
